Implementation,MAE,RMSE,R2,Training Time (s),Prediction Time (s),Task,Accuracy,Precision,Recall,F1
Scikit-learn Linear Regression,0.10850276488125464,0.14575409595200192,0.2684461883259477,0.018825000006472692,0.0014993000077083707,Regression,,,,
Manual Linear Regression,0.10850276488125479,0.14575409595200187,0.26844618832594813,0.011662599994451739,0.00023890000011306256,Regression,,,,
Optimized Manual Ridge Regression,0.1085016286798471,0.1457537916981873,0.26844924248101665,0.005283599995891564,0.00013690000923816115,Regression,,,,
Scikit-learn Logistic Regression,,,,0.04388949999702163,0.000713700006599538,Classification,0.7083333333333334,0.7536231884057971,0.8914285714285715,0.8167539267015707
Manual Logistic Regression,,,,0.3877895999903558,0.00034359999699518085,Classification,0.7125,0.7431192660550459,0.9257142857142857,0.8244274809160306
Optimized Manual Logistic Regression,,,,0.5274767999944743,0.00011470000026747584,Classification,0.7125,0.740909090909091,0.9314285714285714,0.8253164556962026
