Implementation,MAE,RMSE,R2,Training Time (s),Prediction Time (s)
Scikit-learn Linear Regression,0.10850276488125464,0.14575409595200192,0.2684461883259477,0.018825000006472692,0.0014993000077083707
Manual Linear Regression,0.10850276488125479,0.14575409595200187,0.26844618832594813,0.011662599994451739,0.00023890000011306256
Optimized Manual Ridge Regression,0.1085016286798471,0.1457537916981873,0.26844924248101665,0.005283599995891564,0.00013690000923816115
